annee;janvier;fevrier;mars;avril;mai;juin;juillet;aout;septembre;octobre;novembre;decembre
2007;85;113;50;6;95;188;107;71;43;14;43;188
2008;82;52;113;99;151;51;37;65;55;105;156;105
2009;103;49;58;90;42;80;38;41;21;63;197;144
2010;65;114;38;30;72;60;49;64;40;91;173;132
2011;58;50;8;3;63;47;50;55;33;39;41;220
2012;67;20;24;155;57;81;61;78;55;114;145;186
2013;102;57;104;51;45;25;23;17;53;82;142;146
2014;191;167;51;54;65;25;51;71;12;99;146;106
2015;119;123;39;24;60;16;50;180;29;31;79;58
2016;169;167;72;33;28;54;18;26;63;24;136;23
2017;37;144;82;22;136;40;52;52;120;46;105;172
2018;144;97;90;39;38;46;50;20;26;96;59;110
2019;97;52;20;64;31;87;14;52;56;175;206;117
2020;79;143;63;45;25;111;25;48;49;314;51;209
2021;155;71;42;19;72;89;30;20;58;90;81;139
2022;97;61;63;37;6;73;12;44;59;57;141;112
2023;133;17;12;45;33;45;60;40;57;122;220;154
2024;135;135;98;47;21;35;50;54;68;94;107;69
2025;182;65;;;;;;;;;;
